Test Case ID,Test Scenario,Test Case,Test Suite,Method,URL,Test Data,Expected Result,Actual Result,Status
1.1.1,Login user module.,Login user with valid username & password.,Check api response status code.,POST,login/api/v1/login-user/,params,200,200,PASS
1.1.2,Login user module.,Login user with valid username & password.,Check api response status.,POST,login/api/v1/login-user/,params,success,success,PASS
1.1.3,Login user module.,Login user with valid username & password.,Check api response message.,POST,login/api/v1/login-user/,params,['You are successfully logged in.'],['You are successfully logged in.'],PASS
1.1.4,Login user module.,Login user with valid username & password.,Check api response data.,POST,login/api/v1/login-user/,params,[{'token': 'd33a7207070748a113201fa24fcfe6ff2d6b5286'}],[{'token': 'd33a7207070748a113201fa24fcfe6ff2d6b5286'}],PASS
1.2.1,Login user module.,Login user with invalid username & password.,Check api response status code.,POST,login/api/v1/login-user/,params,404,404,PASS
1.2.2,Login user module.,Login user with invalid username & password.,Check api response status.,POST,login/api/v1/login-user/,params,error,error,PASS
1.2.3,Login user module.,Login user with invalid username & password.,Check api response message.,POST,login/api/v1/login-user/,params,['Invalid credentials!'],['Invalid credentials!'],PASS
1.2.4,Login user module.,Login user with invalid username & password.,Check api response data.,POST,login/api/v1/login-user/,params,,,PASS
1.3.1,Login user module.,Login user with username & without password.,Check api response status code.,POST,login/api/v1/login-user/,params,400,400,PASS
1.3.2,Login user module.,Login user with username & without password.,Check api response status.,POST,login/api/v1/login-user/,params,error,error,PASS
1.3.3,Login user module.,Login user with username & without password.,Check api response message.,POST,login/api/v1/login-user/,params,['Please provide both username and password!'],['Please provide both username and password!'],PASS
1.3.4,Login user module.,Login user with username & without password.,Check api response data.,POST,login/api/v1/login-user/,params,,,PASS
